Channel_name,total_subscribers,total_views,total_videos
NoCopyrightSounds ,33600000,11011230785.0,1591
DanTDM ,28600000,19775951435.0,3705
KSI ,24100000,6015064768.0,1252
Mister Max ,24400000,15973601417.0,1136
Jelly ,23500000,15032515044.0,6331
Miss Katy ,24500000,15462895287.0,1079
Dua Lipa ,23300000,12792401018.0,222
Dan Rhodes ,26500000,18558843557.0,1664
Ali-A ,18900000,6454576924.0,4303
Gaby and Alex ,17200000,8599791929.0,367
Sidemen ,21000000,6051069699.0,349
Queen Official ,17500000,11172793107.0,1137
Little Mix ,16300000,7760494530.0,278
JJ Olatunji ,16300000,4235096703.0,1339
F2Freestylers - Ultimate Soccer Skills Channel ,14100000,3338277500.0,779
BBC News ,15800000,5219037615.0,21145
BBC ,14100000,10345796779.0,18714
Awakening Music ,14000000,5895370212.0,923
DisneyChannelUK ,12900000,13239805858.0,4517
colinfurze ,12900000,1737850096.0,397
Mrwhosetheboss ,18300000,5224911221.0,1673
TommyInnit ,14800000,2349069050.0,463
Morgz ,12800000,3527357846.0,846
Tiana ,11400000,3241315094.0,1034
DisneyJuniorUK ,11900000,12280388976.0,2871
Emily Tube ,11100000,3827432341.0,734
Slogo ,11600000,8851893106.0,6270
Jessie J ,10600000,5738170096.0,96
Sing King ,11800000,7678054660.0,4272
BBC News عربي ,11500000,4858222538.0,40179
Classic Mr Bean ,10400000,3389019245.0,1680
Syndicate ,9620000,2133109238.0,3530
Gorillaz ,10800000,5694818370.0,363
Woody & Kleiny ,15400000,14098827274.0,1086
Jungle Beat ,11400000,5720253944.0,789
Julius Dein ,9270000,2451490753.0,385
The X Factor UK ,9170000,6991097254.0,5494
English with Lucy ,10800000,490426319.0,400
Shaun the Sheep ,11800000,6270218465.0,834
Cartoons for Kids ,8980000,3389711424.0,2470
Mumbo Jumbo ,9360000,3039992057.0,2070
Top Gear ,8900000,3965481581.0,1849
Moonbug Kids - Kids Learning Videos ,10900000,4173418733.0,1430
BBC Radio 1 ,8240000,3704564707.0,4852
Liverpool FC ,9700000,2681894913.0,6316
Grian ,8490000,2435603159.0,751
Daz Games ,8530000,2672413657.0,1557
Vikkstar123 ,7610000,2158203758.0,5038
PlayToys ,7790000,3050738424.0,1030
carwow ,9110000,3805071140.0,2606
Jeremy Lynch ,11500000,6179524394.0,752
TomSka ,7280000,2075452515.0,177
YOGSCAST Lewis & Simon ,7080000,4564618612.0,6435
LDShadowLady ,7150000,3418445524.0,1072
The Beatles ,8200000,6813253792.0,311
Passenger ,7350000,4521686470.0,387
MessYourself ,6870000,2565660279.0,1068
MoreSidemen ,8320000,4213271677.0,1004
Boomerang UK ,7270000,3585116797.0,2292
James Arthur ,7360000,4365336668.0,196
ARPO The Robot ,7650000,3223103910.0,1315
24 News HD ,7710000,3392912536.0,165103
RubyandBonnie ,8840000,5084401378.0,616
Nickelodeon UK ,6930000,7353008393.0,3248
Mark Ronson ,6860000,6455750214.0,20
Rhia Official ,12300000,5714143049.0,887
UKF Dubstep ,6250000,2120845799.0,1705
TGFbro ,6170000,1459575959.0,472
Wilbur Soot ,5930000,795362967.0,139
Russell Brand ,6790000,1263346060.0,2674
Manchester United ,8790000,2087630130.0,3985
Pingu - Official Channel ,6870000,2788693613.0,621
Mrwhosetheboss Shorts ,7100000,3722844989.0,186
Niko Omilana ,7420000,615213451.0,141
Tiana Wilson ,5880000,1641887399.0,429
Capital FM ,6130000,3537766055.0,2542
Simon's Cat ,6210000,1573852796.0,474
CGP Grey ,6230000,1009114880.0,189
Jamie Oliver ,5920000,955104654.0,2102
ChrisMD ,6020000,1552058910.0,509
Dumori Bay ,5360000,1127304.0,225
Space Videos ,5660000,112834302.0,132
Real Stories ,6270000,1171415638.0,1150
More Emily ,5300000,1480033526.0,634
GRM Daily ,6290000,7458604091.0,14696
Joe Weller ,5290000,1022107519.0,323
WildBrain Kids ,8320000,4030017406.0,4979
Sky News ,7540000,4282633039.0,46009
Jarvis ,5680000,1694450677.0,706
Thoughty2 ,5380000,1036594331.0,805
TheDadLab ,5200000,2933744679.0,830
Behzinga ,4960000,579732195.0,872
BBC Learning English ,6370000,331037103.0,3576
Max and Katy ,4740000,1316802359.0,506
Man City ,7180000,1961234060.0,8248
Wisp ,5180000,1068272135.0,513
WillNE ,5030000,852896342.0,305
Zerkaa ,4710000,847855843.0,1998
Ben Phillips ,4550000,1270551080.0,858
Roxxsaurus ,4580000,539030412.0,933
